,name hebrew,name,var,code,value hebrew ,value
0,תחום גאוגרפי,Geographical region,THUM_GEOGRAFI,1,ישראל ללא יהודה ושומרון,Israel wo occupied territories
1,,,THUM_GEOGRAFI,2,יהודה והשומרון,occupied territories
2,סוג דרך,Type of road ,SUG_DEREH,1,עירוני בצומת,urban intersection
3,,,SUG_DEREH,2,עירוני לא בצומת,urban non intersection
4,,,SUG_DEREH,3,לא עירוני בצומת,non urban intersection
5,,,SUG_DEREH,4,לא עירוני לא בצומת,non urban non intersection
6,יחידה משטרתית,Police unit ,YEHIDA,11,מרחב חוף (חיפה),hof unit
7,,,YEHIDA,12,מרחב גליל,galil unit
8,,,YEHIDA,14,מרחב עמקים,amakim unit 
9,,,YEHIDA,20,"מרחב ת""א",tel aviv unit
10,,,YEHIDA,33,מרחב אילת,eilat unit
11,,,YEHIDA,34,מרחב הנגב,negev unit
12,,,YEHIDA,36,מרחב שמשון (עד 1999),shimshon unit (until 1999)
13,,,YEHIDA,37,מרחב שמשון (החל ב-2004),shimshon unit (from 2004)
14,,,YEHIDA,38,מרחב לכיש,lakish unit
15,,,YEHIDA,41,מרחב שומרון,shomron unit
16,,,YEHIDA,43,מרחב יהודה,yehuda unit
17,,,YEHIDA,51,מרחב השרון,sharon unit
18,,,YEHIDA,52,מרחב השפלה,shfela unit
19,,,YEHIDA,61,מחוז ירושלים,jerusalem unit
20,סוג יום,Day,SUG_YOM,1,חג,holiday
21,,,SUG_YOM,2,ערב חג,holiday eve
22,,,SUG_YOM,3,חול המועד,semi-holiday
23,,,SUG_YOM,4,יום אחר,other day
24,יום/לילה,Day/Night,YOM_LAYLA,1,יום,day
25,,,YOM_LAYLA,5,לילה,night
26,יום בשבוע,Day of week,YOM_BASHAVUA,1,ראשון,Sunday
27,,,YOM_BASHAVUA,2,שני,Monday
28,,,YOM_BASHAVUA,3,שלישי,Tuesday
29,,,YOM_BASHAVUA,4,רביעי,Wednesday
30,,,YOM_BASHAVUA,5,חמישי,Thursday
31,,,YOM_BASHAVUA,6,שישי,Friday
32,,,YOM_BASHAVUA,7,שבת,Saturday
33,מרומזר/לא מרומזר,Traffic light ,RAMZOR,0,לא,no
34,,,RAMZOR,1,כן,yes
35,,,RAMZOR,9,לא ידוע,unknown
36,חומרת התאונה,Accident severity ,HUMRAT_TEUNA,1,קטלנית ,deadly
37,,,HUMRAT_TEUNA,2,קשה,severe
38,,,HUMRAT_TEUNA,3,קלה,light
39,סוג תאונה,Accident type ,SUG_TEUNA,1,פגיעה בהולך רגל,pedestrian impact 
40,,,SUG_TEUNA,2,התנגשות חזית אל צד,front to side 
41,,,SUG_TEUNA,3,התנגשות חזית באחור,front to back
42,,,SUG_TEUNA,4,התנגשות צד בצד,side to side
43,,,SUG_TEUNA,5,התנגשות חזית אל חזית,front to front
44,,,SUG_TEUNA,6,התנגשות עם רכב שנעצר ללא חניה,impact with unparked stoped vehicle 
45,,,SUG_TEUNA,7,התנגשות עם רכב חונה,impact with parked vehicle 
46,,,SUG_TEUNA,8,התנגשות עם עצם דומם,impact with object 
