attribute,attribute_majority_vote,clusters_count,clusters_percent,Consistent Severity,Improved Safety,Severe Turnaround,Stable Safety,severe_turnaround_probability,consistent_severe_probability,Accidents Percentage
BAKARA,give way,232.56,8.39,3.56,39.44,9.56,180.0,4.98,9.18,42.5
BAKARA,none,375.22,13.76,10.89,91.56,18.67,254.11,7.39,10.56,29.76
BAKARA,other ,328.0,11.65,10.78,90.56,15.67,211.0,6.36,9.45,30.09
BAKARA,stop sign,220.22,7.99,4.44,35.33,9.67,170.78,5.4,11.0,43.08
BAKARA,traffic light not working ,2.33,0.09,0.0,0.0,0.33,2.0,11.11,,27.22
BAKARA,unknown,618.44,22.22,4.56,74.89,20.22,518.78,3.65,5.86,100.0
BAKARA,working traffic light,982.33,35.56,69.89,279.44,69.89,563.11,11.11,19.86,46.3
BAKARA,yellow blink traffic light,11.56,0.41,0.33,2.78,0.89,7.56,10.92,16.37,29.75
HAD_MASLUL,one way road ,359.11,13.12,11.56,97.44,16.89,233.22,6.9,10.33,42.31
HAD_MASLUL,other ,20.0,0.8,1.25,3.0,0.25,15.5,1.25,26.19,30.3
HAD_MASLUL,two way no bypass ,59.33,2.2,3.0,20.56,3.0,32.78,8.38,12.17,39.36
HAD_MASLUL,two way yes bypass ,363.89,13.22,9.78,94.56,16.11,243.44,6.37,9.08,47.3
HAD_MASLUL,unknown,72.0,2.64,2.56,21.33,4.44,43.67,9.45,11.55,100.0
HAD_MASLUL,unknown number of lanes ,1905.89,68.46,77.0,378.78,104.11,1346.0,7.01,16.76,61.85
HUMRAT_TEUNA,deadly,7.22,0.26,0.78,6.44,0.0,0.0,,10.93,36.21
HUMRAT_TEUNA,light,1457.89,53.36,60.67,315.11,85.78,996.33,8.21,16.17,68.63
HUMRAT_TEUNA,property damage,1227.78,43.69,37.89,221.33,58.89,909.67,5.75,13.82,71.77
HUMRAT_TEUNA,severe,76.22,2.69,5.11,71.11,0.0,0.0,,7.05,41.19
KIVUN_HAZIYA,from left to right ,307.11,11.06,19.0,107.33,14.44,166.33,8.02,15.28,18.12
KIVUN_HAZIYA,from right to left ,727.11,26.27,46.89,248.78,40.0,391.44,9.38,15.79,18.44
KIVUN_HAZIYA,unknown,1734.89,62.67,38.56,257.89,90.22,1348.22,6.22,12.7,100.0
LO_HAZA,other ,219.89,7.81,13.56,67.89,13.11,125.33,8.74,14.98,14.2
LO_HAZA,play on the road ,1.67,0.06,0.67,1.0,0.0,0.0,,50.0,5.7
LO_HAZA,stad on the road ,23.11,0.83,2.11,6.56,0.67,13.78,4.04,23.23,12.39
LO_HAZA,unknown,2450.11,88.59,82.33,510.33,126.78,1730.67,6.81,13.86,100.0
LO_HAZA,walked against traffic ,4.67,0.17,0.11,2.44,0.33,1.78,21.88,2.78,17.02
LO_HAZA,walked in the direction of traffic ,7.22,0.28,0.33,2.44,0.33,4.11,8.39,12.5,15.65
LO_HAZA,was on divider ,9.11,0.34,1.89,4.44,0.67,2.11,15.56,22.23,8.44
LO_HAZA,was on shoulder or sidewalk,54.44,1.96,3.89,19.56,2.78,28.22,9.11,17.64,11.99
MEHIRUT_MUTERET,60,70.11,2.56,4.44,17.22,4.78,43.67,10.49,19.19,36.69
MEHIRUT_MUTERET,70,53.67,1.94,3.44,17.78,3.89,28.56,12.23,17.03,42.69
MEHIRUT_MUTERET,80,2.11,0.07,0.44,0.89,0.0,0.78,0.0,29.17,41.58
MEHIRUT_MUTERET,90,1.17,0.04,0.0,0.0,0.0,1.17,0.0,,25.46
MEHIRUT_MUTERET,unknown,336.89,11.99,0.44,8.11,10.67,317.67,2.83,3.42,100.0
MEHIRUT_MUTERET,upto 50 km/h,2305.56,83.4,95.67,570.0,125.33,1514.56,7.67,14.31,51.06
MEKOM_HAZIYA,near intersection not zebra crossing ,83.0,3.05,5.78,32.0,4.44,40.78,10.28,14.59,14.08
MEKOM_HAZIYA,not near intersection not zebra ,130.44,4.72,6.78,55.22,3.89,64.56,5.51,11.28,18.58
MEKOM_HAZIYA,unknown,1578.0,57.12,34.0,223.22,81.33,1239.44,6.14,13.08,100.0
MEKOM_HAZIYA,unknown crossing point ,28.56,1.04,1.11,7.89,1.33,18.22,6.86,12.26,15.67
MEKOM_HAZIYA,zebra crossign with traffic light ,238.44,8.61,24.89,94.0,15.33,104.22,13.09,20.95,15.9
