attribute,attribute_majority_vote,clusters_count,clusters_percent,Consistent Severity,Improved Safety,Severe Turnaround,Stable Safety,severe_turnaround_probability,consistent_severe_probability,Accidents Percentage
accident_severity,Fatal,13.78,0.27,0.89,12.89,0.0,0.0,,7.69,35.78
accident_severity,Serious,215.0,4.4,26.56,188.44,0.0,0.0,,12.16,59.38
accident_severity,Slight,4744.67,95.33,304.44,1643.11,294.0,2503.11,10.55,15.67,89.63
carriageway_hazards,Other object on road,1.0,0.02,,0.5,,1.0,0.0,0.0,100.0
carriageway_hazards,Pedestrian in carriageway - not injured,1.25,0.02,,1.33,,0.5,0.0,0.0,100.0
carriageway_hazards,Previous accident,1.0,0.02,,,,1.0,0.0,0.0,100.0
carriageway_hazards,unknown (self reported),4.0,0.09,,3.0,1.0,2.0,16.66,0.0,100.0
day_of_week,Friday,524.44,10.51,40.89,201.44,33.78,248.33,11.94,17.01,45.9
day_of_week,Monday,1098.22,22.07,69.67,388.0,63.67,576.89,10.0,15.25,36.09
day_of_week,Saturday,337.33,6.78,30.11,133.78,19.44,154.0,11.32,18.44,45.98
day_of_week,Sunday,993.33,20.06,58.22,373.22,58.44,503.44,10.49,13.5,33.08
day_of_week,Thursday,509.89,10.26,37.78,194.11,27.78,250.22,10.1,16.38,42.92
day_of_week,Tuesday,860.56,17.28,53.0,308.44,52.78,446.33,10.57,14.64,39.37
day_of_week,Wednesday,649.67,13.04,42.22,245.44,38.11,323.89,10.58,14.64,41.59
did_police_officer_attend_scene_of_accident,No,566.44,11.58,22.22,146.89,36.67,360.67,9.01,12.42,69.18
did_police_officer_attend_scene_of_accident,Yes,4407.0,88.42,309.67,1697.56,257.33,2142.44,10.78,15.48,80.87
first_road_class,A,2985.67,60.03,236.44,1141.44,190.44,1417.33,11.85,17.19,90.71
first_road_class,A(M),15.78,0.31,0.78,3.67,0.67,10.67,6.32,17.78,78.73
first_road_class,B,671.56,13.48,38.67,244.11,38.67,350.11,10.01,13.75,85.87
first_road_class,C,261.67,5.21,11.0,84.0,11.56,155.11,7.39,12.01,89.59
first_road_class,Motorway,88.44,1.76,1.22,25.78,2.78,58.67,4.32,4.82,92.67
first_road_class,Unclassified,950.33,19.21,43.78,345.44,49.89,511.22,8.97,11.17,93.63
junction_control,Authorised person,3.11,0.07,0.22,0.78,0.0,2.11,0.0,28.57,34.0
junction_control,Auto traffic signal,1290.44,25.93,128.11,494.0,92.0,576.33,13.79,20.6,79.71
junction_control,Data missing or out of range,608.56,12.41,30.67,241.44,24.33,312.11,7.23,11.28,78.44
junction_control,Give way or uncontrolled,3005.0,60.33,170.33,1082.56,174.89,1577.22,10.1,13.66,85.72
junction_control,Not at junction or within 20 metres,123.0,2.24,3.67,46.67,3.67,69.0,4.6,7.41,66.38
junction_control,Stop sign,24.89,0.51,1.33,10.11,1.56,11.89,10.96,11.7,60.93
junction_control,unknown (self reported),4.0,0.09,0.0,0.0,0.0,4.0,0.0,,58.82
junction_detail,Crossroads,1098.44,22.07,107.22,425.33,76.22,489.67,13.47,20.12,79.79
