city,mean_accidents,mean_minor_accidents,mean_severe_accidents,num_clusters,mean_cluster_size,min_cluster_count,average_cluster_count,max_cluster_count,std_cluster_count,Consistent Severity,Improved Safety,Severe Turnaround,Stable Safety,severe_turnaround_probability,consistent_severe_probability
Birmingham,2765.5,2367.08,398.42,730.22,15.64,3.0,5.08,46.33,3.46,54.33,286.44,47.56,341.89,12.21,15.94
Leeds,1889.83,1590.0,299.83,435.22,16.01,3.0,4.88,31.33,3.1,34.0,170.22,24.11,206.89,10.44,16.65
Cornwall,1250.73,1040.36,210.36,122.56,9.29,3.0,3.76,12.0,1.47,4.67,45.67,5.44,66.78,7.54,9.27
Sheffield,1182.67,985.17,197.5,277.56,15.34,3.0,4.75,27.11,2.88,23.11,100.22,16.89,137.33,10.95,18.74
Manchester,1152.0,992.17,159.83,293.33,14.9,3.0,4.88,20.0,2.56,20.67,112.78,17.22,142.67,10.77,15.49
Bradford,1233.67,1047.25,186.42,287.56,14.41,3.0,4.6,20.11,2.43,15.44,103.22,16.89,152.0,10.0,13.01
County Durham,935.73,764.0,171.73,120.67,13.24,3.0,3.95,11.89,1.56,5.0,44.33,5.22,66.11,7.32,10.14
Wiltshire,982.55,785.09,197.45,109.56,11.54,3.0,3.71,10.0,1.19,5.44,45.33,4.22,54.56,7.18,10.72
Liverpool,1151.17,949.42,201.75,322.11,13.22,3.0,4.98,29.67,3.05,28.56,142.44,22.22,128.89,14.71,16.7
"Bristol, City of",1014.92,903.42,111.5,260.89,17.07,3.0,4.66,21.11,2.53,10.56,88.22,14.0,148.11,8.64,10.69
Kirklees,898.67,760.5,138.17,176.33,13.68,3.0,4.17,13.56,1.81,7.44,61.89,8.56,98.44,8.0,10.74
Cheshire East,916.18,736.36,179.82,147.0,12.33,3.0,3.82,11.78,1.39,6.56,61.11,6.33,73.0,7.98,9.69
Croydon,926.33,830.17,96.17,268.33,17.41,3.0,5.55,31.89,4.0,15.33,80.11,17.33,155.56,10.03,16.07
Barnet,1035.67,918.33,117.33,288.78,19.97,3.0,6.02,46.0,5.24,20.89,102.89,19.89,145.11,12.05,16.88
Ealing,944.17,844.58,99.58,266.22,21.81,3.0,6.6,50.78,5.9,22.78,87.22,18.22,138.0,11.66,20.71
Leicester,874.42,784.67,89.75,245.89,18.04,3.0,5.05,23.67,3.03,9.11,74.89,14.78,147.11,9.13,10.85
Cheshire West and Chester,779.0,632.82,146.18,125.44,12.87,3.0,4.04,14.78,1.71,5.89,51.11,6.11,62.33,8.93,10.33
Wakefield,692.58,566.33,126.25,116.22,13.77,3.0,4.12,14.78,1.93,6.33,50.22,4.78,54.89,8.01,11.2
Newham,809.75,724.58,85.17,219.78,22.35,3.0,6.96,43.0,6.13,23.78,76.22,15.44,104.33,12.89,23.78
Coventry,643.75,537.58,106.17,157.0,14.33,3.0,4.36,13.78,1.95,11.89,59.11,8.67,77.33,10.08,16.74
